request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_91,424.57,affordable_later,wait,2024-11-15:1927.20,2024-11-15,none,"Wait until 2024-11-15, then pay EUR 1,927.20 in full without taking the forecast below the EUR 2,100 minimum."
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,"Pay ZAR 34,034 today. The 90-day forecast keeps at least ZAR 28,100 available."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,"Pay USD 1,729.20 today. The 90-day forecast keeps at least USD 1,900 available."
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 today. The 90-day forecast keeps at least EUR 600 available.
request_95,13862.42,not_affordable,not_recommended,none,,none,"Do not proceed with INR 553,000. No eligible plan completes the request within 90 days while protecting the INR 145,500 minimum."
request_96,72873.09,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-01-15,none,"Use 3 installments of INR 31,269.33, starting 2026-01-10. The 90-day forecast protects the INR 56,500 minimum."
request_97,1573,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"Use 3 installments of ZAR 8,145.28, starting 2024-03-19. The 90-day forecast protects the ZAR 29,700 minimum."
request_98,7513.86,affordable_later,wait,2025-09-15:27148,2025-09-15,none,"Wait until 2025-09-15, then pay ZAR 27,148 in full without taking the forecast below the ZAR 30,000 minimum."
request_99,17405.99,affordable_with_plan,full_payment,2026-07-04:18062,2026-07-15,reduce_to:event_9232:1065.90,"Apply the listed flexible-spending changes, then pay ZAR 18,062 today. The 90-day forecast keeps at least ZAR 49,100 available."
request_100,25174.83,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-07-15,none,"Use 3 installments of ZAR 12,866.19, starting 2024-06-13. The 90-day forecast protects the ZAR 32,500 minimum."
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"Pay INR 143,500 today. The 90-day forecast keeps at least INR 187,400 available."
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 2026-04-05. The 90-day forecast protects the EUR 900 minimum."
request_103,9017.96,not_affordable,not_recommended,none,,none,"Do not proceed with INR 368,300. No eligible plan completes the request within 90 days while protecting the INR 125,500 minimum."
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,"Pay ZAR 17,204 today. The 90-day forecast keeps at least ZAR 24,700 available."
request_105,53500,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,"Pay INR 53,500 today. The 90-day forecast keeps at least INR 73,900 available."
request_106,462.06,affordable_later,wait,2025-01-15:2207.70,2025-01-15,none,"Wait until 2025-01-15, then pay EUR 2,207.70 in full without taking the forecast below the EUR 1,200 minimum."
request_107,2528.29,affordable_with_plan,installments,2025-05-08:878.59|2025-06-05:878.59|2025-07-03:878.59,2025-05-15,none,"Use 3 installments of EUR 878.59, starting 2025-05-08. The 90-day forecast protects the EUR 1,600 minimum."
request_108,1694.03,not_affordable,not_recommended,none,2026-09-15,none,"Do not complete ZAR 55,308 by the requested date. Only ZAR 1,694.03 is safe today, and no eligible plan meets the deadline while protecting the ZAR 24,100 minimum."
request_109,554.92,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-04-15,none,"Use 3 installments of EUR 645.98, starting 2024-03-18. The 90-day forecast protects the EUR 1,700 minimum."
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7,748.69, starting 2025-08-06. The 90-day forecast protects the ZAR 11,200 minimum."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"Pay IDR 16,625,000 today. The 90-day forecast keeps at least IDR 23,022,800 available."
request_112,271.7,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,Pay EUR 271.70 today. The 90-day forecast keeps at least EUR 500 available.
request_113,24177.86,affordable_later,wait,2026-09-15:36500,2026-09-15,none,"Wait until 2026-09-15, then pay INR 36,500 in full without taking the forecast below the INR 82,300 minimum."
request_114,63409.47,affordable_with_plan,full_payment,2026-01-04:65300,2026-01-15,stop:event_10559,"Apply the listed flexible-spending changes, then pay INR 65,300 today. The 90-day forecast keeps at least INR 113,400 available."
request_115,14639.39,affordable_later,wait,2024-10-15:80500,2024-10-15,none,"Wait until 2024-10-15, then pay INR 80,500 in full without taking the forecast below the INR 38,800 minimum."
request_116,8264.33,not_affordable,not_recommended,none,,none,"Do not proceed with INR 241,200. No eligible plan completes the request within 90 days while protecting the INR 80,300 minimum."
request_117,859.99,affordable_with_plan,full_payment,2026-07-05:880,2026-07-15,stop:event_10833,"Apply the listed flexible-spending changes, then pay EUR 880 today. The 90-day forecast keeps at least EUR 1,000 available."
request_118,666.96,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-15,none,"Use 3 installments of EUR 255.87, starting 2024-12-07. The 90-day forecast protects the EUR 600 minimum."
request_119,59305.37,affordable_with_plan,installments,2025-05-18:70546.67|2025-06-15:70546.67|2025-07-13:70546.67,2025-06-15,none,"Use 3 installments of INR 70,546.67, starting 2025-05-18. The 90-day forecast protects the INR 151,200 minimum."
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"Pay IDR 7,714,000 today. The 90-day forecast keeps at least IDR 20,050,300 available."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.60 today. The 90-day forecast keeps at least USD 800 available.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7,126,773.33, starting 2025-08-05. The 90-day forecast protects the IDR 12,588,500 minimum."
request_123,2779697.26,not_affordable,not_recommended,none,,none,"Do not proceed with IDR 4,076,000. No eligible plan completes the request within 90 days while protecting the IDR 18,091,200 minimum."
request_124,1390.9,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-15,none,"Use 3 installments of EUR 1,076.12, starting 2024-06-11. The 90-day forecast protects the EUR 1,600 minimum."
request_125,6284.91,affordable_with_plan,full_payment,2025-11-06:6468,2025-11-15,reduce_to:event_11602:223.30,"Apply the listed flexible-spending changes, then pay ZAR 6,468 today. The 90-day forecast keeps at least ZAR 11,300 available."
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,"Pay INR 159,600 today. The 90-day forecast keeps at least INR 129,700 available."
request_127,9245.99,affordable_later,wait,2024-10-15:23980,2024-10-15,none,"Wait until 2024-10-15, then pay ZAR 23,980 in full without taking the forecast below the ZAR 41,000 minimum."
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,"Pay ZAR 25,168 today. The 90-day forecast keeps at least ZAR 42,600 available."
request_129,112.82,not_affordable,not_recommended,none,,none,"Do not proceed with USD 2,668.80. No eligible plan completes the request within 90 days while protecting the USD 800 minimum."
request_130,435.71,affordable_later,wait,2025-02-15:1978.80,2025-02-15,none,"Wait until 2025-02-15, then pay USD 1,978.80 in full without taking the forecast below the USD 1,400 minimum."
request_131,1185.84,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-06-23,none,"Use 3 installments of USD 643.14, starting 2025-05-06. The 90-day forecast protects the USD 1,100 minimum."
request_132,260.07,affordable_later,wait,2026-01-15:379.86,2026-01-15,none,"Wait until 2026-01-15, then pay USD 379.86 in full without taking the forecast below the USD 1,100 minimum."
request_133,4037653.36,not_affordable,not_recommended,none,,none,"Do not proceed with IDR 15,770,000. No eligible plan completes the request within 90 days while protecting the IDR 9,986,200 minimum."
request_134,4925295.62,affordable_later,wait,2025-10-15:21831000,2025-10-15,none,"Wait until 2025-10-15, then pay IDR 21,831,000 in full without taking the forecast below the IDR 15,902,500 minimum."
request_135,283.38,affordable_with_plan,full_payment,2026-07-06:304.80,2026-07-15,stop:event_12413,"Apply the listed flexible-spending changes, then pay USD 304.80 today. The 90-day forecast keeps at least USD 500 available."
request_136,535.53,affordable_with_plan,full_payment,2024-06-03:560.40,2024-06-15,reduce_to:event_12498:27.20,"Apply the listed flexible-spending changes, then pay USD 560.40 today. The 90-day forecast keeps at least USD 1,100 available."
request_137,25447.61,affordable_later,wait,2026-01-15:80100,2026-01-15,none,"Wait until 2026-01-15, then pay INR 80,100 in full without taking the forecast below the INR 71,800 minimum."
request_138,752.54,affordable_with_plan,partial_payment,2026-04-07:752.54|2026-04-15:504.40,2026-04-15,none,"Pay EUR 752.54 today and EUR 504.40 on 2026-04-15. The plan protects the EUR 2,300 minimum."
request_139,1403.13,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-10-15,none,"Use 3 installments of USD 802.88, starting 2024-09-07. The 90-day forecast protects the USD 1,500 minimum."
request_140,1468.76,not_affordable,not_recommended,none,,none,"Do not proceed with ZAR 62,832. No eligible plan completes the request within 90 days while protecting the ZAR 21,600 minimum."
request_141,21875.35,not_affordable,not_recommended,none,,none,"Do not proceed with INR 171,600. No eligible plan completes the request within 90 days while protecting the INR 67,300 minimum."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,"Pay USD 1,263.60 today. The 90-day forecast keeps at least USD 1,700 available."
request_143,3056.47,affordable_later,wait,2025-06-15:12584,2025-06-15,none,"Wait until 2025-06-15, then pay ZAR 12,584 in full without taking the forecast below the ZAR 11,300 minimum."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Pay USD 233.34 today. The 90-day forecast keeps at least USD 600 available.
request_145,28249.09,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-03-15,none,"Use 3 installments of INR 75,365.33, starting 2024-03-20. The 90-day forecast protects the INR 155,400 minimum."
request_146,15609.61,not_affordable,not_recommended,none,,none,"Do not proceed with INR 449,400. No eligible plan completes the request within 90 days while protecting the INR 108,600 minimum."
request_147,477.17,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-05-15,none,"Use 3 installments of EUR 391.63, starting 2026-04-08. The 90-day forecast protects the EUR 900 minimum."
request_148,7091.76,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-07-15,stop:event_13593,"Use 3 installments of ZAR 7,710.56, starting 2024-06-14. The 90-day forecast protects the ZAR 20,000 minimum."
request_149,22377.09,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-12-15,none,"Use 3 installments of ZAR 12,706.03, starting 2025-11-18. The 90-day forecast protects the ZAR 42,100 minimum."
request_150,311.43,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-01-15,none,"Use 3 installments of EUR 171.98, starting 2026-01-06. The 90-day forecast protects the EUR 700 minimum."
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,"Pay IDR 26,999,000 today. The 90-day forecast keeps at least IDR 31,633,600 available."
request_152,11053.31,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-02-15,none,"Use 3 installments of ZAR 4,812.43, starting 2025-02-12. The 90-day forecast protects the ZAR 11,900 minimum."
request_153,87,not_affordable,not_recommended,none,,none,"Do not proceed with USD 2,830.80. No eligible plan completes the request within 90 days while protecting the USD 1,400 minimum."
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments of EUR 563.61, starting 2024-12-04. The 90-day forecast protects the EUR 1,300 minimum."
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,"Pay INR 112,500 today. The 90-day forecast keeps at least INR 56,300 available."
request_156,8503.97,affordable_later,wait,2026-06-15:43076,2026-06-15,none,"Wait until 2026-06-15, then pay ZAR 43,076 in full without taking the forecast below the ZAR 26,900 minimum."
request_157,4800384.1,affordable_later,wait,2024-04-15:23503000,2024-04-15,none,"Wait until 2024-04-15, then pay IDR 23,503,000 in full without taking the forecast below the IDR 15,714,100 minimum."
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84,101.33, starting 2025-08-07. The 90-day forecast protects the INR 131,400 minimum."
request_159,0,not_affordable,not_recommended,none,,none,"Do not proceed with ZAR 13,398. No eligible plan completes the request within 90 days while protecting the ZAR 8,700 minimum."
request_160,568.73,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-06-15,none,"Use 3 installments of EUR 432.05, starting 2024-06-13. The 90-day forecast protects the EUR 1,200 minimum."
request_161,6934481.94,affordable_later,wait,2026-01-15:21204000,2026-01-15,none,"Wait until 2026-01-15, then pay IDR 21,204,000 in full without taking the forecast below the IDR 23,010,400 minimum."
request_162,1259500.53,not_affordable,not_recommended,none,,none,"Do not proceed with IDR 83,923,000. No eligible plan completes the request within 90 days while protecting the IDR 24,161,100 minimum."
request_163,9894179.14,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-09-15,none,"Use 3 installments of IDR 6,692,053.33, starting 2024-09-10. The 90-day forecast protects the IDR 26,728,700 minimum."
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9,366,240, starting 2025-02-11. The 90-day forecast protects the IDR 29,550,500 minimum."
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,"Pay INR 80,600 today. The 90-day forecast keeps at least INR 95,000 available."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1,007.97, starting 2024-12-03. The 90-day forecast protects the USD 1,700 minimum."
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"Pay ZAR 43,802 today. The 90-day forecast keeps at least ZAR 31,200 available."
request_168,30669.7,affordable_with_plan,partial_payment,2026-01-07:30669.70|2026-01-15:18710.30,2026-01-15,none,"Pay INR 30,669.70 today and INR 18,710.30 on 2026-01-15. The plan protects the INR 114,400 minimum."
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,"Pay ZAR 41,976 today. The 90-day forecast keeps at least ZAR 18,700 available."
request_170,30579176.06,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-08-15,none,"Use 3 installments of IDR 12,804,480, starting 2025-08-06. The 90-day forecast protects the IDR 24,715,800 minimum."
request_171,32.71,not_affordable,not_recommended,none,,none,"Do not proceed with EUR 1,878.80. No eligible plan completes the request within 90 days while protecting the EUR 500 minimum."
request_172,9123,affordable_with_plan,partial_payment,2024-06-05:9123|2024-06-15:1077,2024-06-15,none,"Pay ZAR 9,123 today and ZAR 1,077 on 2024-06-15. The plan protects the ZAR 27,200 minimum."
request_173,59011.64,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2025-12-15,none,"Use 3 installments of INR 39,173.33, starting 2025-11-21. The 90-day forecast protects the INR 79,100 minimum."
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments of EUR 397.35, starting 2026-04-04. The 90-day forecast protects the EUR 700 minimum."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,"Pay EUR 2,346.30 today. The 90-day forecast keeps at least EUR 1,700 available."
request_176,365.8,not_affordable,not_recommended,none,2025-04-15,none,"Do not complete EUR 1,239.70 by the requested date. Only EUR 365.80 is safe today, and no eligible plan meets the deadline while protecting the EUR 600 minimum."
